CÓDIGO CCB;LOCALIDADE;SETOR ADMINISTRATIVO;SETOR GEOGRAFICO;COLABORADORES  IDEAL ;COLABORADORES ATUAL;2002;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
22-4445;Turvo;SETOR 5 / SJC;NORTE;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-5531;Jaguari;SETOR 5 / SJC;NORTE;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-5532;Bairro do souza ;SETOR 5 / SJC;NORTE;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-5533;Aguas de Canindú II;SETOR 5 / SJC;NORTE;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-3840;Campos de São José;SETOR 6 / SJC;LESTE;2;2;0;0;0;0;0;0;0;0;0;1;2;2;2
22-1304;Eugênio de Melo;SETOR 6 / SJC;LESTE;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-5184;Jd. São José I;SETOR 6 / SJC;LESTE;2;1;0;0;0;0;0;0;0;0;0;0;1;1;1
22-1307;Jd. São Vicente;SETOR 6 / SJC;LESTE;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0
22-2063;Jd.Santa Inês;SETOR 6 / SJC;LESTE;2;2;0;0;0;0;0;0;0;0;0;0;2;2;2
22-4444;Pousada do Vale;SETOR 6 / SJC;LESTE;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2
22-3929;Res. Galo Branco;SETOR 6 / SJC;LESTE;2;2;0;0;0;0;0;0;0;0;0;2;2;2;2
22-4277;Chácara Araújo;SETOR 7 / SJC;LESTE;2;2;0;1;1;1;1;1;1;1;1;1;1;2;2
22-3847;Fazenda Bom Retiro;SETOR 7 / SJC;LESTE;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2
22-4484;Chácaras Majestic III;SETOR 7 / SJC;LESTE;2;4;0;0;0;0;0;0;0;0;0;0;0;4;4
22-4901;Jd. Primavera;SETOR 7 / SJC;LESTE;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1
22-4929;Jd. Santa Helena;SETOR 7 / SJC;LESTE;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2
22-4539;Jd. Santa Maria;SETOR 7 / SJC;LESTE;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0
22-2270;Pq. Novo Horizonte;SETOR 7 / SJC;LESTE;2;1;0;1;1;1;1;1;1;1;2;2;2;2;1
22-5185;Jambeiro - Bairro serrinha;SETOR 8A / JAMBEIRO;PARAIBUNA;2;1;0;0;0;0;0;0;0;0;0;0;1;1;1
22-0747;Jambeiro (Central);SETOR 8A / JAMBEIRO;PARAIBUNA;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1
22-3680;Jambeiro-Canaã II;SETOR 8A / JAMBEIRO;PARAIBUNA;2;1;0;0;0;0;0;0;0;0;0;0;1;1;1
22-1792;Jambeiro-Capivari;SETOR 8A / JAMBEIRO;PARAIBUNA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-4474;Jambeiro-Santa Bárbara;SETOR 8A / JAMBEIRO;PARAIBUNA;2;1;0;0;0;0;0;0;0;0;0;0;1;1;1
22-0924;Natividade (Central);SETOR 8C / NATIVIDADE;PARAIBUNA;2;3;0;0;0;0;0;0;0;0;0;2;2;3;3
22-1373;Vargem Grande;SETOR 8C / NATIVIDADE;PARAIBUNA;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1
22-0968;Paraibuna (Central);SETOR 8B / PARAIBUNA;PARAIBUNA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-1647;Pouso Alto;SETOR 8C / NATIVIDADE;PARAIBUNA;2;1;0;0;0;0;0;0;0;0;0;0;1;1;1
22-2191;Bairro da Fartura;SETOR 8B / PARAIBUNA;PARAIBUNA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-2252;Patrimônio Bairro Alto;SETOR 8C / NATIVIDADE;PARAIBUNA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-2461;Pouso Altinho;SETOR 8C / NATIVIDADE;PARAIBUNA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-2784;Bairro da Lagoa;SETOR 8B / PARAIBUNA;PARAIBUNA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-3102;Bairro dos Pimentas;SETOR 8B / PARAIBUNA;PARAIBUNA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-3281;Teles;SETOR 8B / PARAIBUNA;PARAIBUNA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-3546;Pararáca;SETOR 8C / NATIVIDADE;PARAIBUNA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-3771;Espirito Santo;SETOR 8B / PARAIBUNA;PARAIBUNA;2;0;0;0;0;0;0;0;0;0;1;1;1;0;0
22-4524;Campo Redondo;SETOR 8B / PARAIBUNA;PARAIBUNA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-4705;Capim D'Angola;SETOR 8B / PARAIBUNA;PARAIBUNA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-5167;Alferes Bento;SETOR 8B / PARAIBUNA;PARAIBUNA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;154;83;2;15;16;11;10;9;10;11;18;34;55;84;84
;;;;ADERENCIA;53,90;;;;;;;;;;;;;
