Código;;;Nome;;;Fornecedor;;;;Localidade;Conta;;Nº Documento;;Dependência;;;;Dt. Aquisição;;Vl. Aquisição;Vl. Deprec.;;;;;Vl. Atual;;;;Status;
22-0747 / 000014;;;7 - MESA MESA MADEIRA 1.00 X 0.60M;;;NC;;;;BR 22-0747;1101;;0;;SECRETARIA;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000015;;;54 - COFRE COFRE IDEAL TETRA;;;NC;;;;BR 22-0747;1101;;0;;SECRETARIA;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000016;;;58 - ESTANTES MUSICAIS - PARTITURAS / QUADRO MUSICAL QUADRO MUSICAL;;;NC;;;;BR 22-0747;1101;;0;;SECRETARIA;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000017;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 1.80M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000018;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 1.80M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000019;;;16 - PAINEL DE CONTROLE DE SOM  AMPLIFICADOR WATTSOM 360;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000021;;;4 - CADEIRA PÚLPITO;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000022;;;4 - CADEIRA PÚPITO;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000025;;;18 - MICROFONE MICROFONES TESTEMUNHO;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000026;;;18 - MICROFONE MICROFONES TESTEMUNHO;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000029;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 1.20M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000030;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 1.20M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000039;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
